epoch batch k value what
0 1000 119 0.0 diff
0 1000 119 6.71867 norm
0 1500 0 6.57186 diff
0 1500 0 2.15081 norm
0 1500 1 7.48248 diff
0 1500 1 4.34206 norm
0 1500 2 8.60994 diff
0 1500 2 6.40637 norm
0 1500 3 9.74446 diff
0 1500 3 8.20885 norm
0 1500 4 10.7459 diff
0 1500 4 9.72476 norm
0 1500 5 11.6401 diff
0 1500 5 11.0131 norm
0 1500 6 12.4418 diff
0 1500 6 12.1065 norm
0 1500 7 13.215 diff
0 1500 7 13.0939 norm
0 1500 8 13.9314 diff
0 1500 8 13.9685 norm
0 1500 9 14.6106 diff
0 1500 9 14.7841 norm
0 1500 10 14.4087 diff
0 1500 10 14.868 norm
0 1500 11 14.5983 diff
0 1500 11 15.2124 norm
0 1500 12 14.9562 diff
0 1500 12 15.6842 norm
0 1500 13 15.4027 diff
0 1500 13 16.221 norm
0 1500 14 15.8885 diff
0 1500 14 16.7867 norm
0 1500 15 16.3872 diff
0 1500 15 17.3596 norm
0 1500 16 16.8851 diff
0 1500 16 17.9275 norm
0 1500 17 17.3751 diff
0 1500 17 18.4834 norm
0 1500 18 17.8532 diff
0 1500 18 19.0231 norm
0 1500 19 18.3161 diff
0 1500 19 19.5432 norm
0 1500 20 18.7609 diff
0 1500 20 20.0409 norm
0 1500 21 19.1842 diff
0 1500 21 20.5132 norm
0 1500 22 19.5822 diff
0 1500 22 20.9561 norm
0 1500 23 19.95 diff
0 1500 23 21.3651 norm
0 1500 24 20.2819 diff
0 1500 24 21.7342 norm
0 1500 25 20.5712 diff
0 1500 25 22.057 norm
0 1500 26 20.8115 diff
0 1500 26 22.3264 norm
0 1500 27 20.9972 diff
0 1500 27 22.5364 norm
0 1500 28 21.1248 diff
0 1500 28 22.6833 norm
0 1500 29 21.1945 diff
0 1500 29 22.7663 norm
0 1500 30 21.2097 diff
0 1500 30 22.7887 norm
0 1500 31 21.1775 diff
0 1500 31 22.7573 norm
0 1500 32 21.1069 diff
0 1500 32 22.6815 norm
0 1500 33 21.0077 diff
0 1500 33 22.5719 norm
0 1500 34 20.8894 diff
0 1500 34 22.4393 norm
0 1500 35 20.7602 diff
0 1500 35 22.2931 norm
0 1500 36 20.6263 diff
0 1500 36 22.1411 norm
0 1500 37 20.4921 diff
0 1500 37 21.9887 norm
0 1500 38 20.3605 diff
0 1500 38 21.8395 norm
0 1500 39 20.2328 diff
0 1500 39 21.6954 norm
0 1500 40 20.1097 diff
0 1500 40 21.5572 norm
0 1500 41 19.991 diff
0 1500 41 21.4247 norm
0 1500 42 19.8763 diff
0 1500 42 21.2976 norm
0 1500 43 19.7651 diff
0 1500 43 21.1751 norm
0 1500 44 19.6567 diff
0 1500 44 21.0565 norm
0 1500 45 19.5507 diff
0 1500 45 20.9413 norm
0 1500 46 19.4468 diff
0 1500 46 20.8289 norm
0 1500 47 19.3445 diff
0 1500 47 20.7189 norm
0 1500 48 19.2439 diff
0 1500 48 20.6113 norm
0 1500 49 19.145 diff
0 1500 49 20.5058 norm
0 1500 50 19.0479 diff
0 1500 50 20.4028 norm
