batch k value what
2000 7 5.26476 diff
2000 7 4.6536 norm
2000 8 5.23661 diff
2000 8 4.63926 norm
2000 9 5.26017 diff
2000 9 4.64823 norm
2000 10 4.23866 diff
2000 10 3.8032 norm
2000 11 3.70125 diff
2000 11 3.29704 norm
2000 12 3.30619 diff
2000 12 3.00703 norm
2000 13 3.17004 diff
2000 13 2.83539 norm
2000 14 3.01142 diff
2000 14 2.72715 norm
2000 15 2.95121 diff
2000 15 2.62486 norm
2000 16 2.83688 diff
2000 16 2.48094 norm
2000 17 2.71579 diff
2000 17 2.38689 norm
2000 18 2.62504 diff
2000 18 2.3263 norm
2000 19 2.4897 diff
2000 19 2.34238 norm
2000 20 2.59556 diff
2000 20 2.33286 norm
2000 21 2.56494 diff
2000 21 2.27799 norm
2000 22 2.59566 diff
2000 22 2.21622 norm
2000 23 2.56713 diff
2000 23 2.1568 norm
2000 24 2.53369 diff
2000 24 2.14378 norm
2000 25 2.5366 diff
2000 25 2.10434 norm
2000 26 2.49728 diff
2000 26 2.10338 norm
2000 27 2.51061 diff
2000 27 2.07131 norm
2000 28 2.4924 diff
2000 28 2.07127 norm
2000 29 2.51758 diff
2000 29 2.05101 norm
2000 30 2.49911 diff
2000 30 2.01899 norm
2000 31 2.46847 diff
2000 31 1.9832 norm
2000 32 2.43653 diff
2000 32 1.98351 norm
2000 33 2.40531 diff
2000 33 1.99297 norm
2000 34 2.42496 diff
2000 34 1.98967 norm
2000 35 2.42022 diff
2000 35 1.99562 norm
2000 36 2.42465 diff
2000 36 1.97838 norm
2000 37 2.40196 diff
2000 37 1.98442 norm
2000 38 2.39522 diff
2000 38 1.98406 norm
2000 39 2.38933 diff
2000 39 1.97927 norm
2000 40 2.37384 diff
2000 40 1.98382 norm
2000 41 2.37498 diff
2000 41 1.98835 norm
2000 42 2.37248 diff
2000 42 1.99685 norm
2000 43 2.38456 diff
2000 43 1.99328 norm
2000 44 2.38323 diff
2000 44 1.98685 norm
2000 45 2.3784 diff
2000 45 1.97872 norm
2000 46 2.36778 diff
2000 46 1.97284 norm
2000 47 2.3626 diff
2000 47 1.97504 norm
2000 48 2.37494 diff
2000 48 1.97452 norm
2000 49 2.37541 diff
2000 49 1.9747 norm
2000 50 2.38188 diff
2000 50 1.97118 norm
2000 51 2.37517 diff
2000 51 1.97153 norm
2000 52 2.37516 diff
2000 52 1.96392 norm
2000 53 2.37384 diff
2000 53 1.96394 norm
2000 54 2.36735 diff
2000 54 1.96109 norm
2000 55 2.36828 diff
2000 55 1.96303 norm
2000 56 2.36287 diff
2000 56 1.96731 norm
2000 57 2.37129 diff
2000 57 1.96688 norm
2000 58 2.3686 diff
2000 58 1.966 norm
2000 59 2.36788 diff
2000 59 1.9629 norm
2000 60 2.36338 diff
2000 60 1.96237 norm
2000 61 2.36047 diff
2000 61 1.96152 norm
2000 62 2.36361 diff
2000 62 1.96538 norm
2000 63 2.3659 diff
2000 63 1.96854 norm
2000 64 2.36714 diff
2000 64 1.96858 norm
2000 65 2.36571 diff
2000 65 1.96905 norm
2000 66 2.36794 diff
2000 66 1.96684 norm
2000 67 2.36568 diff
2000 67 1.96713 norm
2000 68 2.36649 diff
2000 68 1.96594 norm
2000 69 2.36476 diff
2000 69 1.96777 norm
2000 70 2.36541 diff
2000 70 1.96908 norm
2000 71 2.36839 diff
2000 71 1.9693 norm
2000 72 2.36927 diff
2000 72 1.96962 norm
2000 73 2.37052 diff
2000 73 1.96712 norm
2000 74 2.3682 diff
2000 74 1.9665 norm
2000 75 2.36819 diff
2000 75 1.96635 norm
