batch k norm
3000 66 5.31114e-05
3000 67 5.63237e-05
3000 68 5.97165e-05
3000 69 6.32719e-05
3000 70 6.72758e-05
3000 71 7.12268e-05
3000 72 7.56861e-05
3000 73 8.0143e-05
3000 74 8.52679e-05
3000 75 9.04636e-05
3000 76 9.60027e-05
3000 77 0.000101875
3000 78 0.00010838
3000 79 0.000115373
3000 80 0.000122787
3000 81 0.000130869
3000 82 0.000139331
3000 83 0.000148303
3000 84 0.000157381
3000 85 0.000167445
3000 86 0.000178317
3000 87 0.000190051
3000 88 0.000201698
3000 89 0.000214119
3000 90 0.000226014
3000 91 0.000239001
3000 92 0.000253829
3000 93 0.000270568
3000 94 0.00028659
3000 95 0.000303719
3000 96 0.000323424
3000 97 0.000343753
3000 98 0.000365865
3000 99 0.000391285
3000 100 0.000416634
3000 101 0.000443482
3000 102 0.000470965
3000 103 0.000500903
3000 104 0.000531535
3000 105 0.00056685
3000 106 0.000603281
3000 107 0.000645436
3000 108 0.0006882
3000 109 0.000854577
3000 110 0.000999301
3000 111 0.000989826
3000 112 0.000983578
3000 113 0.000959863
3000 114 0.000918113
3000 115 0.000873648
3000 116 0.000809536
3000 117 0.000708318
3000 118 0.000602453
3000 119 0.00044092
3500 0 4.60036e-08
3500 1 5.66906e-08
3500 2 7.27483e-08
3500 3 1.02685e-07
3500 4 1.46054e-07
3500 5 2.05193e-07
3500 6 2.92437e-07
3500 7 4.29203e-07
3500 8 6.12448e-07
3500 9 8.54565e-07
3500 10 1.0566e-06
3500 11 1.22468e-06
3500 12 1.38237e-06
3500 13 1.53337e-06
3500 14 1.69592e-06
3500 15 1.86058e-06
3500 16 2.01326e-06
3500 17 2.16325e-06
3500 18 2.32361e-06
3500 19 2.49916e-06
3500 20 2.67997e-06
3500 21 2.85705e-06
3500 22 3.05014e-06
3500 23 3.25421e-06
3500 24 3.46053e-06
3500 25 3.68365e-06
3500 26 3.9256e-06
3500 27 4.14528e-06
3500 28 4.40319e-06
3500 29 4.69106e-06
3500 30 4.98618e-06
3500 31 5.27252e-06
3500 32 5.58412e-06
3500 33 5.91259e-06
3500 34 6.25151e-06
3500 35 6.62457e-06
3500 36 7.01444e-06
3500 37 7.41858e-06
3500 38 7.83642e-06
3500 39 8.30514e-06
3500 40 8.76602e-06
3500 41 9.33108e-06
3500 42 9.89843e-06
3500 43 1.05389e-05
3500 44 1.11517e-05
3500 45 1.18971e-05
3500 46 1.26691e-05
3500 47 1.34925e-05
3500 48 1.4298e-05
3500 49 1.52124e-05
3500 50 1.61111e-05
3500 51 1.71197e-05
3500 52 1.81197e-05
3500 53 1.92325e-05
3500 54 2.03524e-05
3500 55 2.15605e-05
3500 56 2.29706e-05
3500 57 2.43439e-05
3500 58 2.60469e-05
3500 59 2.75711e-05
3500 60 2.93567e-05
3500 61 3.12546e-05
3500 62 3.33917e-05
3500 63 3.54576e-05
3500 64 3.78297e-05
3500 65 4.02311e-05
3500 66 4.26334e-05
3500 67 4.52229e-05
3500 68 4.80981e-05
3500 69 5.13486e-05
3500 70 5.47965e-05
3500 71 5.83949e-05
3500 72 6.21687e-05
3500 73 6.60795e-05
3500 74 7.08285e-05
3500 75 7.57523e-05
3500 76 8.10049e-05
3500 77 8.62026e-05
3500 78 9.16824e-05
3500 79 9.82547e-05
3500 80 0.000104803
3500 81 0.00011193
3500 82 0.000119478
3500 83 0.000127678
3500 84 0.000135856
3500 85 0.000145067
3500 86 0.00015513
3500 87 0.000165992
3500 88 0.000177694
3500 89 0.000191084
3500 90 0.000204405
3500 91 0.000217857
3500 92 0.00023263
3500 93 0.000248892
3500 94 0.000265683
3500 95 0.000283757
3500 96 0.000305011
3500 97 0.000325311
3500 98 0.00034643
3500 99 0.00037118
3500 100 0.000396502
3500 101 0.000424561
3500 102 0.000457127
3500 103 0.000489503
3500 104 0.000525597
3500 105 0.000562294
3500 106 0.00059896
3500 107 0.000640386
3500 108 0.000685885
3500 109 0.000851661
3500 110 0.000996995
3500 111 0.000977752
3500 112 0.000981309
3500 113 0.000982608
3500 114 0.00093503
3500 115 0.000873411
3500 116 0.000810839
3500 117 0.000714667
3500 118 0.000606806
3500 119 0.000450544
4000 0 1.1805e-07
4000 1 1.47694e-07
4000 2 1.93958e-07
4000 3 2.71512e-07
4000 4 3.76629e-07
4000 5 5.38447e-07
4000 6 7.5013e-07
4000 7 1.0643e-06
4000 8 1.4696e-06
4000 9 2.00804e-06
4000 10 2.53853e-06
4000 11 3.01036e-06
4000 12 3.44824e-06
4000 13 3.8598e-06
4000 14 4.31486e-06
4000 15 4.78587e-06
4000 16 5.2004e-06
4000 17 5.63622e-06
4000 18 6.05948e-06
4000 19 6.52074e-06
4000 20 7.03309e-06
4000 21 7.5296e-06
4000 22 8.06551e-06
4000 23 8.59307e-06
4000 24 9.18207e-06
4000 25 9.72964e-06
4000 26 1.03158e-05
4000 27 1.08977e-05
4000 28 1.15406e-05
4000 29 1.22074e-05
4000 30 1.28836e-05
4000 31 1.35565e-05
4000 32 1.41967e-05
4000 33 1.49023e-05
4000 34 1.57051e-05
4000 35 1.64959e-05
4000 36 1.73054e-05
4000 37 1.82405e-05
4000 38 1.91633e-05
4000 39 2.006e-05
4000 40 2.11468e-05
4000 41 2.22167e-05
4000 42 2.34904e-05
4000 43 2.47467e-05
4000 44 2.60709e-05
4000 45 2.72565e-05
4000 46 2.86148e-05
4000 47 3.00827e-05
4000 48 3.14861e-05
4000 49 3.30295e-05
4000 50 3.46058e-05
4000 51 3.62971e-05
4000 52 3.79991e-05
4000 53 3.98556e-05
4000 54 4.19041e-05
4000 55 4.40212e-05
4000 56 4.65256e-05
4000 57 4.90187e-05
4000 58 5.15875e-05
4000 59 5.41651e-05
4000 60 5.70825e-05
4000 61 5.99879e-05
4000 62 6.28157e-05
4000 63 6.58711e-05
4000 64 6.90788e-05
4000 65 7.23711e-05
4000 66 7.59984e-05
4000 67 7.96464e-05
4000 68 8.36547e-05
4000 69 8.79287e-05
4000 70 9.26724e-05
4000 71 9.74621e-05
4000 72 0.000102366
4000 73 0.000107327
4000 74 0.000113069
4000 75 0.000119113
4000 76 0.000125654
4000 77 0.00013207
4000 78 0.000138382
4000 79 0.000145554
4000 80 0.000153059
4000 81 0.000161105
4000 82 0.000169827
4000 83 0.00017838
4000 84 0.000187423
4000 85 0.000197117
4000 86 0.000207147
4000 87 0.000217534
4000 88 0.000229006
4000 89 0.000241743
4000 90 0.000253493
4000 91 0.000266108
4000 92 0.000280215
4000 93 0.000294321
4000 94 0.000309935
4000 95 0.00032558
4000 96 0.000342714
4000 97 0.000360076
4000 98 0.000379039
4000 99 0.00039939
4000 100 0.000420249
4000 101 0.000443147
4000 102 0.0004675
4000 103 0.000492639
4000 104 0.000518403
4000 105 0.000546359
4000 106 0.000575698
4000 107 0.000606448
4000 108 0.000637449
4000 109 0.000789836
4000 110 0.000938871
4000 111 0.000957359
4000 112 0.000975183
4000 113 0.000938296
4000 114 0.000903241
4000 115 0.000833031
4000 116 0.000767731
4000 117 0.000697624
4000 118 0.000583227
4000 119 0.000433844
4500 0 9.51285e-08
4500 1 1.18633e-07
4500 2 1.57056e-07
4500 3 2.13577e-07
4500 4 3.04237e-07
4500 5 4.30032e-07
4500 6 6.04847e-07
4500 7 8.7868e-07
4500 8 1.26304e-06
4500 9 1.7488e-06
4500 10 2.11907e-06
4500 11 2.46248e-06
4500 12 2.80883e-06
4500 13 3.11903e-06
4500 14 3.46003e-06
4500 15 3.78347e-06
4500 16 4.09643e-06
4500 17 4.39433e-06
4500 18 4.67056e-06
4500 19 5.02107e-06
4500 20 5.39198e-06
4500 21 5.69527e-06
4500 22 6.05017e-06
4500 23 6.43491e-06
4500 24 6.80153e-06
4500 25 7.16731e-06
4500 26 7.59127e-06
4500 27 7.98653e-06
4500 28 8.42856e-06
4500 29 8.88939e-06
4500 30 9.34579e-06
4500 31 9.79205e-06
4500 32 1.02564e-05
4500 33 1.07543e-05
4500 34 1.13178e-05
4500 35 1.18261e-05
4500 36 1.2419e-05
4500 37 1.30762e-05
4500 38 1.36872e-05
4500 39 1.43283e-05
4500 40 1.50582e-05
4500 41 1.58223e-05
4500 42 1.66009e-05
4500 43 1.74745e-05
4500 44 1.84525e-05
4500 45 1.9355e-05
4500 46 2.03781e-05
4500 47 2.14602e-05
4500 48 2.26525e-05
4500 49 2.38021e-05
4500 50 2.50752e-05
4500 51 2.63935e-05
4500 52 2.77179e-05
4500 53 2.91306e-05
4500 54 3.07052e-05
4500 55 3.22925e-05
4500 56 3.39725e-05
4500 57 3.57524e-05
4500 58 3.78471e-05
4500 59 3.99064e-05
4500 60 4.22015e-05
4500 61 4.45412e-05
4500 62 4.70365e-05
4500 63 4.95271e-05
4500 64 5.22385e-05
4500 65 5.5254e-05
4500 66 5.83516e-05
4500 67 6.15654e-05
4500 68 6.49256e-05
4500 69 6.87958e-05
4500 70 7.27709e-05
4500 71 7.65327e-05
4500 72 8.11416e-05
4500 73 8.60842e-05
4500 74 9.09761e-05
4500 75 9.62427e-05
4500 76 0.000101423
4500 77 0.000107155
4500 78 0.000113391
4500 79 0.000119955
4500 80 0.000127652
4500 81 0.000134785
4500 82 0.000142509
4500 83 0.00015096
4500 84 0.000159531
4500 85 0.000168511
